gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or More Races (non-Hispanic),Hispanic or Latino,Source
G0900030520302,Glastonbury,tract 5203.02,,3877,82,3161,76,13,340,0,4,64,219,2010 Census - Social Explorer
G0900030520400,Glastonbury,tract 5204,,7718,91,6985,65,5,360,0,6,76,221,2010 Census - Social Explorer
G0900030520501,Glastonbury,tract 5205.01,,4405,91,4022,28,4,154,0,3,66,128,2010 Census - Social Explorer
G0900030524100,Marlborough,tract 5241,,6404,93,5952,71,7,103,4,2,84,181,2010 Census - Social Explorer
G0900030524200,Rocky Hill,tract 5242,,6144,86,5276,219,13,271,0,4,78,283,2010 Census - Social Explorer
G0900030524300,Enfield,tract 5243,,7291,64,4630,1420,11,65,2,13,47,1103,2010 Census - Social Explorer
G0900030524400,Hartford,tract 5244,,3057,2,48,2238,15,28,0,11,77,640,2010 Census - Social Explorer
G0900030524501,Hartford,tract 5245.01,,2704,32,855,583,4,82,0,51,60,1069,2010 Census - Social Explorer
G0900030524502,Hartford,tract 5245.02,,2158,52,1112,623,2,64,1,10,27,319,2010 Census - Social Explorer
G0900030524600,Hartford,tract 5246,,3311,10,347,1698,22,437,0,7,79,721,2010 Census - Social Explorer
G0900030524700,Hartford,tract 5247,,3624,19,698,733,10,85,0,51,49,1998,2010 Census - Social Explorer
G0900030980000,Windsor Locks,tract 9800 (BDL),,0,0,0,0,0,0,0,0,0,0,2010 Census - Social Explorer
